port_name,port_id,geography
R. SANCHEZ TABOADA,26006,"POLYGON ((-111.1335 27.14678, -110.6476 26.87589, -108.6192 28.71188, -110.9893 27.86039, -111.0596 27.69416, -111.2248 27.22697, -111.1335 27.14678))"
SAN JUAN DE LA COSTA,03016,"POLYGON ((-111.2128 24.8911, -111.3537 23.20197, -110.5563 24.21002, -110.1234 25.27744, -110.2221 25.38788, -111.1968 25.03057, -111.2128 24.8911))"
PICHILINGUE,03017,"POLYGON ((-110.5563 24.21002, -110.4587 24.21225, -109.4713 24.46368, -109.3 24.61612, -110.1234 25.27744, -110.5563 24.21002))"
YAVAROS,26008,"POLYGON ((-110.6443 26.81722, -110.2697 26.0178, -110.1673 25.84937, -107.7049 26.67424, -102.8327 29.99323, -102.2765 33.36396, -102.9167 33.36173, -108.6192 28.71188, -110.6476 26.87589, -110.6443 26.81722))"
CABO SAN LUCAS,03007,"POLYGON ((-119.9659 13.46475, -119.6534 11.00233, -114.2865 11.55733, -110.3487 17.06285, -108.5035 21.58541, -110.1793 23.36618, -110.4462 23.42566, -111.3631 23.16458, -119.9659 13.46475))"
MARINA MAZATLAN,25008,"POLYGON ((-102.7823 27.36252, -105.4254 25.51311, -106.7867 24.31066, -106.4612 23.26987, -106.2173 23.3217, -104.964 23.84724, -102.4444 25.86059, -102.5303 26.35791, -102.6909 27.026, -102.7823 27.36252))"
ZIHUATANEJO,12002,"POLYGON ((-100.2915 20.23692, -102.3376 16.11264, -99.66891 19.53048, -99.71695 19.59123, -100.2509 20.19606, -100.2915 20.23692))"
TAMIAHUA-BARRA DE CORAZONES,30015,"POLYGON ((-100.2509 20.19606, -97.68681 21.01709, -97.17721 21.22102, -97.73434 21.71857, -100.6899 20.69483, -100.4794 20.43007, -100.2915 20.23692, -100.2509 20.19606))"
TOPOLOBAMPO,25001,"POLYGON ((-110.1234 25.27744, -109.3 24.61612, -109.0558 24.54746, -109.0312 24.57194, -107.7049 26.67424, -110.1673 25.84937, -110.2221 25.38788, -110.1234 25.27744))"
LOS  BARRILES,03020,"POLYGON ((-110.1793 23.36618, -108.3115 23.37124, -109.0558 24.54746, -109.3 24.61612, -109.4713 24.46368, -109.8464 24.10329, -110.4462 23.42566, -110.1793 23.36618))"
PUNTA PRIETA,03019,"POLYGON ((-109.4713 24.46368, -110.4587 24.21225, -109.8464 24.10329, -109.4713 24.46368))"
BARA NAVIDAD,14002,"POLYGON ((-114.2865 11.55733, -108.0032 11.95271, -104.693 18.6685, -104.5983 18.89327, -104.1694 20.19734, -106.217 19.49028, -108.0724 18.7097, -110.3487 17.06285, -114.2865 11.55733))"
PUERTO BALLETO,18002,"POLYGON ((-108.0724 18.7097, -105.9752 21.17043, -105.943 21.24926, -105.9229 21.48501, -106.0872 22.04661, -106.575 22.41677, -107.8619 22.49724, -108.0283 22.50197, -108.5035 21.58541, -110.3487 17.06285, -108.0724 18.7097))"
SAN JOSE DEL CABO,03006,"POLYGON ((-108.5035 21.58541, -108.0283 22.50197, -108.0774 23.14518, -108.3115 23.37124, -110.1793 23.36618, -108.5035 21.58541))"
LA REFORMA,25002,"POLYGON ((-102.7823 27.36252, -102.8327 29.99323, -107.7049 26.67424, -109.0312 24.57194, -105.4254 25.51311, -102.7823 27.36252))"
ALTATA,25003,"POLYGON ((-108.3115 23.37124, -108.0774 23.14518, -106.7867 24.31066, -105.4254 25.51311, -109.0312 24.57194, -109.0558 24.54746, -108.3115 23.37124))"
MARINA EL CID,25007,"POLYGON ((-108.0774 23.14518, -108.0283 22.50197, -107.8619 22.49724, -106.4499 23.22236, -106.4612 23.26987, -106.7867 24.31066, -108.0774 23.14518))"
PUERTO VALLARTA,14001,"POLYGON ((-106.217 19.49028, -104.1694 20.19734, -102.9993 20.78695, -102.9151 20.83023, -105.0759 20.90627, -106.0618 19.69987, -106.217 19.49028))"
CRUZ DE HUANACAXTLE,18005,"POLYGON ((-106.0618 19.69987, -105.1916 20.92014, -105.9752 21.17043, -108.0724 18.7097, -106.217 19.49028, -106.0618 19.69987))"
TEACAPAN,25005,"POLYGON ((-101.9617 24.22662, -102.4444 25.86059, -104.964 23.84724, -106.575 22.41677, -106.0872 22.04661, -101.8354 23.54213, -101.9617 24.22662))"
LA PESCA,28005,"POLYGON ((-101.8354 23.54213, -101.7894 23.38182, -101.2145 23.35242, -93.83111 23.4032, -93.65259 23.64748, -97.86512 24.14517, -101.9617 24.22662, -101.8354 23.54213))"
MARINA MAZATLAN,25006,"POLYGON ((-106.4499 23.22236, -106.2173 23.3217, -106.4612 23.26987, -106.4499 23.22236))"
MEXCALTITLAN,18001,"POLYGON ((-101.8354 23.54213, -106.0872 22.04661, -105.9229 21.48501, -101.7774 23.24819, -101.7894 23.38182, -101.8354 23.54213))"
MAZATLAN,25004,"POLYGON ((-106.2173 23.3217, -106.4499 23.22236, -107.8619 22.49724, -106.575 22.41677, -104.964 23.84724, -106.2173 23.3217))"
SAN BLAS,18003,"POLYGON ((-101.7774 23.24819, -105.9229 21.48501, -105.943 21.24926, -101.5716 21.85972, -101.7774 23.24819))"
ALTAMIRA,28007,"POLYGON ((-101.5716 21.85972, -101.4813 21.42131, -96.89885 22.60049, -101.2145 23.35242, -101.7894 23.38182, -101.7774 23.24819, -101.5716 21.85972))"
TAMPICO,28008,"POLYGON ((-101.4759 21.389, -100.6899 20.69483, -97.73434 21.71857, -96.40947 22.56945, -96.89885 22.60049, -101.4813 21.42131, -101.4759 21.389))"
CHACALA,18004,"POLYGON ((-101.4813 21.42131, -101.5716 21.85972, -105.943 21.24926, -105.9752 21.17043, -105.1916 20.92014, -105.0759 20.90627, -102.9151 20.83023, -101.5225 21.35114, -101.4759 21.389, -101.4813 21.42131))"
NUEVO VALLARATA,18006,"POLYGON ((-106.0618 19.69987, -105.0759 20.90627, -105.1916 20.92014, -106.0618 19.69987))"
PUERTO INTERIOR SAN PEDRITO,06002,"POLYGON ((-102.9151 20.83023, -102.9993 20.78695, -104.3162 19.0876, -104.2887 19.02452, -102.3059 20.06266, -101.5225 21.35114, -102.9151 20.83023))"
LAS HADAS,06001,"POLYGON ((-104.1694 20.19734, -104.5983 18.89327, -104.3162 19.0876, -102.9993 20.78695, -104.1694 20.19734))"
MANZANILLO,06003,"POLYGON ((-104.693 18.6685, -104.2887 19.02452, -104.3162 19.0876, -104.5983 18.89327, -104.693 18.6685))"
LAZARO CARDENAS,16001,"POLYGON ((-106.6878 12.001, -105.0187 12.04516, -103.8644 13.9815, -100.4794 20.43007, -100.6899 20.69483, -101.4759 21.389, -101.5225 21.35114, -102.3059 20.06266, -106.6878 12.001))"
LAGUNA DE CUYUTLAN,06004,"POLYGON ((-108.0032 11.95271, -106.6878 12.001, -102.3059 20.06266, -104.2887 19.02452, -104.693 18.6685, -108.0032 11.95271))"
PUERTO VICENTE GUERRERO,12003,"POLYGON ((-105.0187 12.04516, -102.4918 12.0756, -101.5775 14.33271, -99.51404 19.37527, -99.66891 19.53048, -102.3376 16.11264, -103.8644 13.9815, -105.0187 12.04516))"
IXTAPA,12001,"POLYGON ((-100.4794 20.43007, -103.8644 13.9815, -102.3376 16.11264, -100.2915 20.23692, -100.4794 20.43007))"
EL CARBAJAL,28003,"POLYGON ((-101.9617 24.22662, -97.86512 24.14517, -97.6004 24.73918, -102.5303 26.35791, -102.4444 25.86059, -101.9617 24.22662))"
PUERTO MARQUEZ,12005,"POLYGON ((-102.4918 12.0756, -100.3035 12.06655, -98.0555 18.04723, -98.43085 18.6036, -98.54038 18.69175, -101.5775 14.33271, -102.4918 12.0756))"
ACAPULCO,12004,"POLYGON ((-101.5775 14.33271, -98.54038 18.69175, -98.66103 18.79202, -99.22571 19.19602, -99.51404 19.37527, -101.5775 14.33271))"
BOCA CIEGA,28002,"POLYGON ((-102.5303 26.35791, -97.6004 24.73918, -94.70437 24.00891, -102.6909 27.026, -102.5303 26.35791))"
LA PASTORIA,20005,"POLYGON ((-100.3035 12.06655, -98.33018 12.03021, -96.88816 17.47921, -97.20351 17.68797, -98.0555 18.04723, -100.3035 12.06655))"
TUXPAN,30002,"POLYGON ((-99.71695 19.59123, -97.02163 20.96442, -97.68681 21.01709, -100.2509 20.19606, -99.71695 19.59123))"
BARRA DEL TORDO,28006,"POLYGON ((-96.89885 22.60049, -96.40947 22.56945, -93.92333 23.24443, -93.83111 23.4032, -101.2145 23.35242, -96.89885 22.60049))"
ISLA LOBOS,30010,"POLYGON ((-97.17721 21.22102, -96.62725 21.11439, -96.29338 21.12489, -95.93562 21.19079, -94.3611 21.67422, -93.92333 23.24443, -96.40947 22.56945, -97.73434 21.71857, -97.17721 21.22102))"
CAZONES,30009,"POLYGON ((-99.66891 19.53048, -99.51404 19.37527, -99.22571 19.19602, -96.29338 21.12489, -96.62725 21.11439, -97.02163 20.96442, -99.71695 19.59123, -99.66891 19.53048))"
BOCA DE JESUS MARIA,28004,"POLYGON ((-94.70437 24.00891, -97.6004 24.73918, -97.86512 24.14517, -93.65259 23.64748, -93.6301 23.67278, -94.70437 24.00891))"
CAYO DE ARCAS,04002,"POLYGON ((-93.92333 23.24443, -94.3611 21.67422, -94.3687 20.89376, -93.95122 20.16662, -93.19547 19.70066, -92.16361 19.40395, -92.05498 19.41153, -91.96824 19.42565, -91.77443 19.47936, -91.46446 19.66034, -91.24153 20.12041, -91.17439 20.34518, -91.42026 21.0155, -92.47642 23.20516, -93.06368 24.18615, -93.6301 23.67278, -93.65259 23.64748, -93.83111 23.4032, -93.92333 23.24443))"
PROGRESO,31005,"POLYGON ((-90.36387 28.39311, -92.19787 25.48592, -90.83249 23.04623, -89.79094 21.34274, -89.49208 21.23418, -89.51264 23.9487, -89.52205 24.18346, -89.56379 24.6541, -90.36387 28.39311))"
MINATITLAN,30011,"POLYGON ((-94.81215 18.29139, -95.34624 17.88881, -95.68226 17.3413, -93.70398 16.67138, -93.71746 17.17637, -94.56047 18.12028, -94.81215 18.29139))"
COATZACOALCOS,30001,"POLYGON ((-94.56047 18.12028, -94.45073 18.11343, -94.14611 18.26885, -94.33226 18.89346, -94.81215 18.29139, -94.56047 18.12028))"
BARRA DE GALINDO,30007,"POLYGON ((-97.68681 21.01709, -97.02163 20.96442, -96.62725 21.11439, -97.17721 21.22102, -97.68681 21.01709))"
PUERTO ANGEL,20001,"POLYGON ((-98.1062 12.02439, -95.36005 11.92506, -96.2731 15.56137, -96.51559 16.48083, -98.1062 12.02439))"
TECOLUTLA,30016,"POLYGON ((-98.66103 18.79202, -95.93562 21.19079, -96.29338 21.12489, -99.22571 19.19602, -98.66103 18.79202))"
NAUTLA,30013,"POLYGON ((-95.93562 21.19079, -98.66103 18.79202, -98.54038 18.69175, -98.43085 18.6036, -97.91421 18.88315, -94.39463 20.86972, -94.3687 20.89376, -94.3611 21.67422, -95.93562 21.19079))"
VERACRUZ,30003,"POLYGON ((-94.39463 20.86972, -97.91421 18.88315, -96.19009 19.13579, -96.14473 19.14627, -96.00966 19.18066, -94.65644 20.44989, -94.39463 20.86972))"
BALZAPOTE,30006,"POLYGON ((-94.65644 20.44989, -95.27609 19.3084, -95.36944 18.9024, -95.34624 17.88881, -94.81215 18.29139, -94.33226 18.89346, -93.9513 20.16587, -93.95122 20.16662, -94.3687 20.89376, -94.39463 20.86972, -94.65644 20.44989))"
VILLA RICA BOCA DEL RIO,30020,"POLYGON ((-98.43085 18.6036, -98.0555 18.04723, -97.20351 17.68797, -96.9868 17.8805, -96.09834 18.76844, -96.05125 19.05281, -96.113 19.09469, -96.19009 19.13579, -97.91421 18.88315, -98.43085 18.6036))"
PUERTO ESCONDIDO,20006,"POLYGON ((-98.33018 12.03021, -98.1062 12.02439, -96.51559 16.48083, -96.51387 16.49497, -96.42557 17.26214, -96.88816 17.47921, -98.33018 12.03021))"
PUERTO MADERO,07001,"POLYGON ((-95.23137 11.91913, -85.94302 11.18849, -89.62355 15.84064, -89.98293 16.20658, -90.95409 16.28974, -95.14299 12.22661, -95.23137 11.91913))"
BOCA DEL RIO,30018,"POLYGON ((-96.14473 19.14627, -96.19009 19.13579, -96.113 19.09469, -96.1014 19.09889, -96.14473 19.14627))"
BOCA DEL RIO,30008,"POLYGON ((-96.1014 19.09889, -96.04363 19.0788, -96.00966 19.18066, -96.14473 19.14627, -96.1014 19.09889))"
TLACOTALPAN,30017,"POLYGON ((-97.20351 17.68797, -96.88816 17.47921, -96.42557 17.26214, -96.26273 17.23823, -95.68226 17.3413, -95.34624 17.88881, -95.36944 18.9024, -96.9868 17.8805, -97.20351 17.68797))"
EL CONCHAL BOCA DEL RIO,30019,"POLYGON ((-96.05125 19.05281, -96.04363 19.0788, -96.1014 19.09889, -96.113 19.09469, -96.05125 19.05281))"
MARINA STA. CRUZ-HUATULCO,20007,"POLYGON ((-96.51559 16.48083, -96.2731 15.56137, -96.12653 15.75805, -96.51387 16.49497, -96.51559 16.48083))"
"BAHIA CHAHUE, HUATULCO",20004,"POLYGON ((-96.51387 16.49497, -96.12653 15.75805, -94.82377 14.15819, -96.26273 17.23823, -96.42557 17.26214, -96.51387 16.49497))"
ANTON LIZARDO,30005,"POLYGON ((-96.00966 19.18066, -96.04363 19.0788, -96.05125 19.05281, -96.09834 18.76844, -95.27609 19.3084, -94.65644 20.44989, -96.00966 19.18066))"
"MARINA STA CRUZ, HUATULCO",20003,"POLYGON ((-95.36005 11.92506, -95.23137 11.91913, -95.14299 12.22661, -94.72305 13.93926, -94.82377 14.15819, -96.12653 15.75805, -96.2731 15.56137, -95.36005 11.92506))"
DOS BOCAS,27002,"POLYGON ((-93.9513 20.16587, -93.44277 18.02267, -93.13209 18.19151, -93.19245 19.69112, -93.19547 19.70066, -93.95122 20.16662, -93.9513 20.16587))"
SALINA CRUZ,20002,"POLYGON ((-94.72305 13.93926, -93.46452 16.39892, -93.70398 16.67138, -95.68226 17.3413, -96.26273 17.23823, -94.82377 14.15819, -94.72305 13.93926))"
ALVARADO,30004,"POLYGON ((-96.9868 17.8805, -95.36944 18.9024, -95.27609 19.3084, -96.09834 18.76844, -96.9868 17.8805))"
SAN JOSE MAZATAN,07002,"POLYGON ((-95.14299 12.22661, -90.95409 16.28974, -92.393 16.50255, -93.46452 16.39892, -94.72305 13.93926, -95.14299 12.22661))"
VILLAHERMOSA,27007,"POLYGON ((-93.71746 17.17637, -93.70398 16.67138, -93.46452 16.39892, -92.393 16.50255, -92.53644 18.01088, -92.91238 18.26159, -93.13209 18.19151, -93.44277 18.02267, -93.71612 17.20639, -93.71746 17.17637))"
NANCHITAL,30012,"POLYGON ((-93.71612 17.20639, -94.0594 18.01162, -94.45073 18.11343, -94.56047 18.12028, -93.71746 17.17637, -93.71612 17.20639))"
SANCHEZ MAGALLANES,27001,"POLYGON ((-94.33226 18.89346, -94.14611 18.26885, -94.0594 18.01162, -93.71612 17.20639, -93.44277 18.02267, -93.9513 20.16587, -94.33226 18.89346))"
BARRA DE SAN PEDRO,27006,"POLYGON ((-93.19245 19.69112, -93.06628 19.34163, -92.45141 18.42, -92.34376 18.34259, -92.15728 18.44337, -92.16361 19.40395, -93.19547 19.70066, -93.19245 19.69112))"
PAJARITOS,30014,"POLYGON ((-94.45073 18.11343, -94.0594 18.01162, -94.14611 18.26885, -94.45073 18.11343))"
BARRA DE CHILTEPEC,27004,"POLYGON ((-93.19245 19.69112, -93.13209 18.19151, -92.91238 18.26159, -92.87247 18.48247, -93.06628 19.34163, -93.19245 19.69112))"
FRONTERA,27003,"POLYGON ((-92.87247 18.48247, -92.45141 18.42, -93.06628 19.34163, -92.87247 18.48247))"
TABASQUILLO,27008,"POLYGON ((-92.91238 18.26159, -92.53644 18.01088, -92.34376 18.34259, -92.45141 18.42, -92.87247 18.48247, -92.91238 18.26159))"
JONUTA,27005,"POLYGON ((-90.95409 16.28974, -89.98293 16.20658, -90.06432 16.92519, -91.25058 17.95238, -91.40496 18.05468, -92.01223 18.37521, -92.15728 18.44337, -92.34376 18.34259, -92.53644 18.01088, -92.393 16.50255, -90.95409 16.28974))"
ARROYO GRANDE,04011,"POLYGON ((-91.40496 18.05468, -91.78759 18.71188, -92.01223 18.37521, -91.40496 18.05468))"
CAMPECHE,04003,"POLYGON ((-91.24153 20.12041, -90.24895 19.48548, -89.38079 19.24863, -89.02623 19.79146, -89.02485 19.88429, -89.07493 19.92679, -89.27846 20.08113, -89.2946 20.08998, -91.17439 20.34518, -91.24153 20.12041))"
CIUDAD DE CARMEN,04008,"POLYGON ((-92.15728 18.44337, -92.01223 18.37521, -91.78759 18.71188, -92.05498 19.41153, -92.16361 19.40395, -92.15728 18.44337))"
PUERTO REAL,04007,"POLYGON ((-91.77443 19.47936, -91.96824 19.42565, -91.47406 18.46529, -91.55711 19.17057, -91.77443 19.47936))"
SABANCUY,04005,"POLYGON ((-91.55711 19.17057, -90.03945 17.17943, -89.89519 17.94117, -91.25708 19.52565, -91.46446 19.66034, -91.77443 19.47936, -91.55711 19.17057))"
BAHAMITAS,04010,"POLYGON ((-91.25058 17.95238, -91.47406 18.46529, -91.96824 19.42565, -92.05498 19.41153, -91.78759 18.71188, -91.40496 18.05468, -91.25058 17.95238))"
ISLA AGUADA,04006,"POLYGON ((-91.25058 17.95238, -90.06432 16.92519, -90.03945 17.17943, -91.55711 19.17057, -91.47406 18.46529, -91.25058 17.95238))"
CHETUMAL,23017,"POLYGON ((-90.06432 16.92519, -89.98293 16.20658, -89.62355 15.84064, -88.10926 18.29904, -87.98266 18.5469, -88.33184 19.39576, -89.02623 19.79146, -89.38079 19.24863, -89.89519 17.94117, -90.03945 17.17943, -90.06432 16.92519))"
SEYBAPLAYA,04001,"POLYGON ((-91.46446 19.66034, -91.25708 19.52565, -90.24895 19.48548, -91.24153 20.12041, -91.46446 19.66034))"
CHAMPOTON,04004,"POLYGON ((-89.89519 17.94117, -89.38079 19.24863, -90.24895 19.48548, -91.25708 19.52565, -89.89519 17.94117))"
ISLA ARENA CALKINI,04009,"POLYGON ((-91.17439 20.34518, -89.2946 20.08998, -89.58542 20.42284, -89.84345 20.61859, -91.42026 21.0155, -91.17439 20.34518))"
TELCHAC,31006,"POLYGON ((-89.07493 19.92679, -89.51264 23.9487, -89.49208 21.23418, -89.27846 20.08113, -89.07493 19.92679))"
CELESTUN,31001,"POLYGON ((-91.42026 21.0155, -89.84345 20.61859, -92.47642 23.20516, -91.42026 21.0155))"
YUKALPETEN,31004,"POLYGON ((-89.2946 20.08998, -89.27846 20.08113, -89.49208 21.23418, -89.79094 21.34274, -89.61003 20.49068, -89.58542 20.42284, -89.2946 20.08998))"
SISAL,31002,"POLYGON ((-92.47642 23.20516, -89.84345 20.61859, -89.58542 20.42284, -89.61003 20.49068, -90.83249 23.04623, -92.19787 25.48592, -93.06368 24.18615, -92.47642 23.20516))"
CHUBURNA,31003,"POLYGON ((-90.83249 23.04623, -89.61003 20.49068, -89.79094 21.34274, -90.83249 23.04623))"
CHABIHAU,31007,"POLYGON ((-89.02485 19.88429, -88.78917 20.1102, -89.52205 24.18346, -89.51264 23.9487, -89.07493 19.92679, -89.02485 19.88429))"
PUNTA ALLEN,23013,"POLYGON ((-89.02623 19.79146, -88.33184 19.39576, -84.99606 18.70627, -87.07064 20.05746, -88.35498 20.45014, -88.78917 20.1102, -89.02485 19.88429, -89.02623 19.79146))"
DZILAM DE BRAVO,31008,"POLYGON ((-89.52205 24.18346, -88.78917 20.1102, -88.35498 20.45014, -88.28157 20.57055, -89.17404 23.49334, -89.56379 24.6541, -89.52205 24.18346))"
LAS COLORADAS,31012,"POLYGON ((-88.9796 31.07081, -88.05264 21.29911, -88.00682 21.08394, -87.54532 22.42703, -85.64734 32.57665, -88.06815 32.79361, -88.9796 31.07081))"
SAN FELIPE,31009,"POLYGON ((-88.05264 21.29911, -89.17404 23.49334, -88.28157 20.57055, -88.03902 20.77359, -88.00682 21.08394, -88.05264 21.29911))"
HOLBOX,23002,"POLYGON ((-83.44158 28.29743, -82.83443 32.27972, -85.64734 32.57665, -87.54532 22.42703, -87.53504 21.39216, -86.90767 21.69915, -83.44158 28.29743))"
EL CUYO,31011,"POLYGON ((-88.03902 20.77359, -87.66366 20.92502, -87.53504 21.39216, -87.54532 22.42703, -88.00682 21.08394, -88.03902 20.77359))"
LA AGUADA,23016,"POLYGON ((-85.94302 11.18849, -85.66219 11.15704, -84.87573 17.69466, -88.10926 18.29904, -89.62355 15.84064, -85.94302 11.18849))"
CHIQUILA,23001,"POLYGON ((-87.66366 20.92502, -87.51274 20.94141, -87.49291 20.94574, -87.31228 20.99838, -87.19435 21.0788, -87.10974 21.23671, -86.93371 21.62843, -86.90767 21.69915, -87.53504 21.39216, -87.66366 20.92502))"
XCALAK,23015,"POLYGON ((-88.10926 18.29904, -84.87573 17.69466, -84.87321 17.7148, -87.98266 18.5469, -88.10926 18.29904))"
MAHAHUAL,23014,"POLYGON ((-84.87321 17.7148, -84.76016 18.61243, -84.99606 18.70627, -88.33184 19.39576, -87.98266 18.5469, -84.87321 17.7148))"
