port_name,port_id,geography
ROSARITO,02001,"POLYGON ((-115.7182 32.81106, -122.7032 32.09679, -122.3211 29.81041, -120.9353 30.3767, -115.984 32.64801, -115.7182 32.81106))"
LA MISION,02002,"POLYGON ((-115.984 32.64801, -120.9353 30.3767, -117.208 31.64238, -116.302 32.36243, -115.984 32.64801))"
ENSENADA,02005,"POLYGON ((-116.302 32.36243, -116.6065 31.95255, -116.7091 31.68783, -115.6174 31.64204, -115.4593 32.83183, -115.7182 32.81106, -115.984 32.64801, -116.302 32.36243))"
El SAUZAL,02003,"POLYGON ((-116.302 32.36243, -117.208 31.64238, -116.8845 31.68116, -116.6065 31.95255, -116.302 32.36243))"
PUNTA CHINA,02006,"POLYGON ((-122.3211 29.81041, -122.0448 28.09504, -115.725 31.27755, -115.6108 31.5699, -115.6174 31.64204, -116.7091 31.68783, -116.8845 31.68116, -117.208 31.64238, -120.9353 30.3767, -122.3211 29.81041))"
SAN FELLIPE,02010,"POLYGON ((-115.725 31.27755, -115.2899 30.54916, -114.0734 30.80854, -114.1971 31.1867, -115.6108 31.5699, -115.725 31.27755))"
ISLA CEDROS,02009,"POLYGON ((-121.9525 27.5103, -120.9195 20.5566, -115.5424 24.98913, -115.3233 25.1833, -114.6551 28.02173, -114.5956 28.85753, -114.831 29.20565, -115.4572 29.32179, -121.9525 27.5103))"
MARINA CORAL,02004,"POLYGON ((-116.8845 31.68116, -116.7091 31.68783, -116.6065 31.95255, -116.8845 31.68116))"
GOLFO DE SANTA CLARA,26001,"POLYGON ((-113.3582 32.98556, -115.4593 32.83183, -115.6174 31.64204, -115.6108 31.5699, -114.1971 31.1867, -113.3582 32.98556))"
SAN QUITIN,02007,"POLYGON ((-115.725 31.27755, -122.0448 28.09504, -121.9525 27.5103, -115.4572 29.32179, -115.2899 30.54916, -115.725 31.27755))"
PUERTECITOS,02011,"POLYGON ((-115.4572 29.32179, -114.831 29.20565, -113.7464 29.85203, -113.5842 30.3915, -114.0734 30.80854, -115.2899 30.54916, -115.4572 29.32179))"
SAN CARLOS,03003,"POLYGON ((-120.9195 20.5566, -120.4531 17.16864, -113.4545 23.41482, -111.5741 24.9804, -115.5424 24.98913, -120.9195 20.5566))"
PUERTO PENASCO,26002,"POLYGON ((-106.7567 33.29796, -113.3582 32.98556, -114.1971 31.1867, -114.0734 30.80854, -113.5842 30.3915, -106.7567 33.29796))"
BAHIA DE LOS ANGELES,02012,"POLYGON ((-114.5956 28.85753, -113.056 28.11085, -112.2162 28.64688, -112.1606 28.75308, -113.7464 29.85203, -114.831 29.20565, -114.5956 28.85753))"
ISLA MUJERES,23005,"POLYGON ((-84.47522 20.82774, -83.44158 28.29743, -86.90767 21.69915, -86.93371 21.62843, -86.75787 21.19775, -86.74959 21.19019, -84.47522 20.82774))"
PUERTO LIBERTAD,26003,"POLYGON ((-113.7464 29.85203, -112.1606 28.75308, -111.1805 29.37119, -110.5971 29.7404, -105.0554 33.33687, -106.7567 33.29796, -113.5842 30.3915, -113.7464 29.85203))"
SANTA MARIA,03008,"POLYGON ((-113.056 28.11085, -113.1619 27.86111, -113.4766 26.87451, -111.8544 27.56982, -111.7006 27.68402, -112.2162 28.64688, -113.056 28.11085))"
VENUSTIANO CARRANZA,02008,"POLYGON ((-114.6551 28.02173, -113.1619 27.86111, -113.056 28.11085, -114.5956 28.85753, -114.6551 28.02173))"
GURRERO NEGRO,03001,"POLYGON ((-115.3233 25.1833, -113.7407 26.16715, -113.7297 26.18667, -113.4766 26.87451, -113.1619 27.86111, -114.6551 28.02173, -115.3233 25.1833))"
EL MEZQUITAL,28001,"POLYGON ((-88.06815 32.79361, -102.2765 33.36396, -102.8327 29.99323, -102.7823 27.36252, -102.6909 27.026, -94.70437 24.00891, -93.6301 23.67278, -93.06368 24.18615, -92.19787 25.48592, -90.36387 28.39311, -88.9796 31.07081, -88.06815 32.79361))"
RIO LAGARTOS,31010,"POLYGON ((-90.36387 28.39311, -89.56379 24.6541, -89.17404 23.49334, -88.05264 21.29911, -88.9796 31.07081, -90.36387 28.39311))"
SAN CARLOS,26004,"POLYGON ((-111.1805 29.37119, -111.0596 27.69416, -110.9893 27.86039, -110.5971 29.7404, -111.1805 29.37119))"
GUAYMAS,26007,"POLYGON ((-110.5971 29.7404, -110.9893 27.86039, -108.6192 28.71188, -102.9167 33.36173, -105.0554 33.33687, -110.5971 29.7404))"
A. LOPEZ MATEOS,03002,"POLYGON ((-111.3066 25.06769, -111.9174 25.71404, -112.2067 25.9548, -112.9881 26.11464, -113.7407 26.16715, -115.3233 25.1833, -115.5424 24.98913, -111.5741 24.9804, -111.3066 25.06769))"
PUERTO ALCATRAZ,03005,"POLYGON ((-111.5741 24.9804, -113.4545 23.41482, -111.2128 24.8911, -111.1968 25.03057, -111.3066 25.06769, -111.5741 24.9804))"
ISLA SAN MARCOS,03010,"POLYGON ((-111.8544 27.56982, -112.6459 26.81201, -111.328 27.29444, -111.7006 27.68402, -111.8544 27.56982))"
MARINA REAL,26005,"POLYGON ((-112.2162 28.64688, -111.7006 27.68402, -111.328 27.29444, -111.2248 27.22697, -111.0596 27.69416, -111.1805 29.37119, -112.1606 28.75308, -112.2162 28.64688))"
PUERTO ESCONDIDO,03015,"POLYGON ((-111.3066 25.06769, -111.1968 25.03057, -110.2221 25.38788, -110.1673 25.84937, -110.2697 26.0178, -111.1062 25.93642, -111.9174 25.71404, -111.3066 25.06769))"
SANTA ROSALIA,03009,"POLYGON ((-113.7297 26.18667, -112.6459 26.81201, -111.8544 27.56982, -113.4766 26.87451, -113.7297 26.18667))"
MULEGE,03011,"POLYGON ((-113.7407 26.16715, -112.9881 26.11464, -111.1335 27.14678, -111.2248 27.22697, -111.328 27.29444, -112.6459 26.81201, -113.7297 26.18667, -113.7407 26.16715))"
PUERTO CORTES,03004,"POLYGON ((-120.4531 17.16864, -119.9659 13.46475, -111.3631 23.16458, -111.3537 23.20197, -111.2128 24.8911, -113.4545 23.41482, -120.4531 17.16864))"
LA PAZ,03018,"POLYGON ((-111.3631 23.16458, -110.4462 23.42566, -109.8464 24.10329, -110.4587 24.21225, -110.5563 24.21002, -111.3537 23.20197, -111.3631 23.16458))"
BAHIA CONCEPCION,03012,"POLYGON ((-112.2067 25.9548, -111.9647 26.07247, -110.6443 26.81722, -110.6476 26.87589, -111.1335 27.14678, -112.9881 26.11464, -112.2067 25.9548))"
LORETO,03013,"POLYGON ((-111.9647 26.07247, -111.1062 25.93642, -110.2697 26.0178, -110.6443 26.81722, -111.9647 26.07247))"
NOPOLO,03014,"POLYGON ((-111.9174 25.71404, -111.1062 25.93642, -111.9647 26.07247, -112.2067 25.9548, -111.9174 25.71404))"
